10791 - good, good, good - buy
10798 - good, good, good - buy
10799 - risk, good, good - buy
10815 - risk, good, good - buy
10833 - middle, bad, good - not
10843 - best, best, best - buy
10857 - bad, good, bad - not
10858 - good, good, unknown - not
10889 - good, middle, middle - not
10895 - good, best, best - buy
10961 - middle, bad, unknown - not
302 - good, good, flat - not
564 - good, good, flat - not
1124 - good, flat, unknown - not
2853 - good, good, good - buy
3062 - best, best, best - buy
3722 - middle, best, risk - not
7683 - middle, risk, unknown - not
1470 - risk, flat, good - not
2283 - risk, bad, good - not
13667 - middle, good, risk - not
2435 - middle, risk, unknown - not
8339 - risk, unknown, unknown - not
1220 - risk, bad, bad - not
1354 - good, unknown, unknown - not
1361 - risk, bad, risk - not
1374 - good, risk, risk - not
1466 - risk, unknown, unknown - not
1592 - bad, risk, unknown - not
1651 - risk, good, unknown - not
1692 - middle, risk, unknown - not
1783 - middle, good, flat - not
1833 - middle, middle, risk - not
1935 - middle, bad, flat - not
2042 - middle, risk, flat - not
2425 - risk, bad, bad - not
2501 - risk, risk, unknown - not
2602 - risk, flat, unknown - not
2721 - risk, risk, flat - not
3019 - risk, risk, risk - not
3055 - middle, bad, risk - not
3064 - middle, good, risk - not
3296 - risk, good, risk - not
3302 - middle, risk, good - not
3435 - middle, risk, unknown - not
3486 - middle, risk, unknown - not
3520 - middle, bad, unknown - not
3557 - middle, risk, flat - not
3899 - risk, good, risk - not
3974 - risk, bad, unknown - not
4118 - risk, flat, unknown - not
4344 - risk, risk, unknown - not
4631 - risk, good, unknown - not
4659 - middle, risk, unknown - not
4882 - risk, risk, unknown - not
5093 - risk, risk, unknown - not
5122 - good, risk, unknown - not
5357 - risk, flat, unknown - not
5813 - risk, risk, unknown - not
5985 - middle, risk, unknown - not
6139 - risk, bad, unknown - not
6151 - middle, bad, unknown - not
6350 - middle, risk, bad - not
6593 - middle, risk, unknown - not
6608 - risk, good, unknown - not
6632 - middle, risk, unknown - not
6977 - risk, middle, unknown - not
7116 - risk, good, unknown - not
7605 - middle, risk, bad - not
8411 - risk, risk, risk - not
8706 - middle, risk, unknown - not
8746 - risk, risk, unknown - not
8829 - middle, bad, risk - not
9023 - risk, flat, unknown - not
9124 - middle, risk, unknown - not
9508 - middle, risk, unknown - not
9688 - risk, flat, unknown - not
3425 - good, flat, unknown - not
7036 - good, good, flat - not
10107 - good, unknown, unknown - not
10565 - middle, good, unknown - not
11784 - best, good, flat - not
15438 - best, flat, flat - not
15538 - best, flat, unknown - not
15930 - middle, flat, good - not
17207 - good, good, flat - not
14329 - good, good, unknown - not
14706 - middle, best, unknown - not
14913 - good, good, flat - not
4 - good, unknown, unknown - not
698 - good, unknown, unknown - not
1103 - bad, bad, unknown - not
6153 - good, unknown, unknown - not
6407 - middle, risk, flat - not
7464 - good, flat, unknown - not
8067 - best, best, risk - not
8155 - good, bad, bad - not
8191 - best, good, unknown - not
1755 - good, unknown, unknown - not
2817 - bad, good, middle - not
2825 - good, middle, middle - not
2836 - bad, risk, bad - not
10117 - middle, unknown, unknown - not
10257 - best, best, unknown - not
10360 - best, best, unknown - not
10377 - risk, good, unknown - not
10563 - risk, risk, unknown - not
11090 - best, unknown, unknown - not
11190 - best, unknown, unknown - not
11409 - middle, good, unknown - not
11966 - middle, risk, unknown - not
12425 - good, good, good - buy
13297 - risk, unknown, unknown - not
14822 - best, good, unknown - not
14829 - best, bad, middle - not
15497 - middle, good, risk - not
15505 - middle, good, flat - not
15523 - best, flat, unknown - not
15594 - risk, bad, risk - not
16064 - good, good, good - buy
16180 - good, risk, middle - not
16410 - good, good, bad - not
16924 - best, best, risk - not
289 - risk, flat, flat - not
1286 - best, best, bad - not
1337 - risk, unknown, unknown - not
1873 - middle, good, flat - not
2405 - risk, unknown, unknown - not
2545 - good, unknown, unknown - not
3173 - best, good, bad - not
3885 - best, middle, risk - not
3968 - middle, risk, flat - not
4380 - middle, middle, middle - not
4762 - middle, risk, good - not
5299 - middle, best, flat - not
5351 - middle, unknown, unknown - not
5621 - middle, good, middle - not
5775 - middle, risk, good - not
6927 - best, flat, unknown - not
7398 - middle, risk, good - not
7507 - bad, unknown, unknown - not
7509 - middle, good, risk - not
7922 - bad, good, risk - not
7948 - middle, risk, flat - not
8117 - middle, good, good - buy
8119 - middle, risk, risk - not
8138 - middle, best, best - buy
8172 - best, risk, best - not
8264 - best, good, unknown - not
8273 - best, unknown, unknown - not
1346 - flat, flat, best - not
6337 - good, bad, middle - not
7099 - best, good, flat - not
710 - middle, bad, risk - not
1172 - good, unknown, unknown - not
1316 - middle, risk, bad - not
1502 - best, risk, unknown - not
1743 - risk, unknown, unknown - not
1759 - middle, middle, middle - not
1764 - middle, bad, bad - not
2268 - middle, bad, middle - not
2640 - best, bad, bad - not
2802 - middle, middle, middle - not
2829 - middle, good, good - buy
2867 - middle, risk, good - not
2946 - good, bad, risk - not
2962 - middle, good, risk - not
3263 - middle, bad, risk - not
3869 - risk, good, risk - not
4609 - good, good, unknown - not
4642 - middle, good, unknown - not
4989 - best, risk, unknown - not
4998 - best, risk, unknown - not
5198 - middle, good, risk - not
5206 - middle, good, middle - not
5238 - risk, good, good - not
5248 - middle, risk, risk - not
5334 - middle, risk, risk - not
5910 - best, risk, good - not
5983 - risk, bad, risk - not
6192 - middle, good, unknown - not
6375 - good, risk, good - not
6396 - middle, risk, risk - not
6477 - middle, risk, unknown - not
6626 - best, risk, unknown - not
6893 - risk, good, risk - not
7038 - risk, risk, unknown - not
7084 - middle, good, unknown - not
7558 - middle, bad, middle - not
7562 - middle, good, bad - not
8236 - middle, risk, bad - not
8793 - bad, good, bad - not
8807 - risk, flat, unknown - not
8973 - good, unknown, unknown - not
9469 - best, good, unknown - not
9527 - middle, unknown, unknown - not
2285 - middle, unknown, unknown - not
2422 - good, good, good - buy
3501 - best, risk, good - not
3608 - middle, middle, unknown - not
8709 - middle, unknown, unknown - not
9815 - best, unknown, unknown - not
353 - middle, good, best - buy
512 - good, bad, good - not
935 - middle, risk, risk - not
1024 - good, middle, good - buy
1037 - good, risk, best - not
1093 - good, good, bad - not
1336 - middle, good, good - buy
1976 - good, bad, bad - not
2040 - good, bad, bad - not
4065 - good, best, unknown - not
5540 - best, unknown, unknown - not
5793 - good, unknown, unknown - not
5823 - bad, unknown, unknown - not
5858 - middle, good, unknown - not
5959 - bad, unknown, unknown - not
7627 - risk, good, unknown - not
8488 - good, best, unknown - not
9364 - bad, unknown, unknown - not
9385 - good, good, unknown - not
9584 - bad, unknown, unknown - not
9605 - good, flat, unknown - not
9608 - best, best, unknown - not
197 - good, best, risk - not
342 - middle, best, risk - not
1066 - best, unknown, unknown - not
1200 - best, unknown, unknown - not
1318 - good, unknown, unknown - not
1356 - good, unknown, unknown - not
1362 - flat, middle, best - buy
1551 - good, unknown, unknown - not
1621 - good, unknown, unknown - not
1747 - good, unknown, unknown - not
1751 - good, good, unknown - not
1925 - good, unknown, unknown - not
1953 - good, good, risk - not
2018 - best, good, middle - not
2110 - best, good, middle - not
2166 - good, good, middle - not
2317 - middle, middle, middle - not
2483 - good, unknown, unknown - not
2485 - good, best, unknown - not
2605 - good, unknown, unknown - not
2812 - best, bad, middle - not
2834 - best, good, unknown - not
2998 - good, good, good - buy
3018 - good, good, middle - not
3103 - good, good, good - buy
3105 - good, unknown, unknown - not
3175 - good, good, middle - not
3181 - good, good, middle - not
3251 - good, good, middle - not
3306 - good, good, middle - not
3374 - good, flat, unknown - not
3483 - good, good, good - buy
3697 - good, good, middle - not
3817 - good, good, unknown - not
